measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Arch_Selden_B_51_measure_1,manuscript_8874,MS_Arch_Selden_B_51,MS. Arch. Selden. B. 51,Arch Selden,,MS_Arch_Selden_B_51,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Superius_109_measure_1,manuscript_8881,MS_Selden_Superius_109,MS. Selden Superius 109,Selden superius,,MS_Selden_Superius_109,,34 leaves 4.125 3.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Superius_111_measure_1,manuscript_8882,MS_Selden_Superius_111,MS. Selden Superius 111,Selden superius,,MS_Selden_Superius_111,,viii + 242 pages 6.375 4.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Superius_112_measure_1,manuscript_8883,MS_Selden_Superius_112,MS. Selden Superius 112,Selden superius,,MS_Selden_Superius_112,,252 leaves 6.125 4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_27_measure_1,manuscript_8900,MS_Selden_Supra_27,MS. Selden Supra 27,Selden supra,,MS_Selden_Supra_27,,"Blind-ruled for 15 lines of text per page, allowing a wide fore-edge margin for music. The ruled area for the text is c. ; the ruled area including the space left for notation is 115 80 (the dimensions in Smoje, p. 9, are incorrect).115 115",,170,170,170,145,145,145,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_30_measure_1,manuscript_8904,MS_Selden_Supra_30,MS. Selden Supra 30,Selden supra,,MS_Selden_Supra_30,,"Ruled in dry point for 25 long lines, ruled space 180 130",,230,230,230,175,175,175,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_36-star_measure_1,manuscript_8909,MS_Selden_Supra_36-star,MS. Selden Supra 36*,Selden supra,,MS_Selden_Supra_36-star,,There are 13 lines on each side of the fragment but the top has been cut away and so originally there would have been more lines to the page,,262,262,262,205,205,205,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_36_measure_1,manuscript_8910,MS_Selden_Supra_36,MS. Selden Supra 36,Selden supra,,MS_Selden_Supra_36,,74 leaves 208 139 207 132,,207,207,207,132,132,132,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_37_measure_1,manuscript_8911,MS_Selden_Supra_37,MS. Selden Supra 37,Selden supra,,MS_Selden_Supra_37,,51 leaves 9.625 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Supra_39_measure_1,manuscript_8913,MS_Selden_Supra_39,MS. Selden Supra 39,Selden supra,,MS_Selden_Supra_39,,70 leaves 8.25 5.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
