metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
_measure_1,manuscript_12023,,,"Cambridge, Trinity College, MS O.9.4",manuscript,,MS-TRINITY-O-00009-00004,Codex vi + 110 + vi 296 184,110.0,12.0,,,,,,,,,,,,,,,,,296.0,296.0,296.0,184.0,184.0,184.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,29 30,30.0,29.0,253.0,253.0,253.0,130.0,130.0,130.0,mm,,,,,,,,,,,,
_measure_2,manuscript_12023,,,"Cambridge, Trinity College, MS O.9.4",manuscript,,MS-TRINITY-O-00009-00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_1,manuscript_1,,,"Cambridge, Trinity College, MS O.9.10",manuscript,,MS-TRINITY-COLLEGE-O-00009-00010,iii + 4 + 144 + i leaves. 275 205,144.0,4.0,4.0,,,,,,,,,,,,,,,,275.0,275.0,275.0,205.0,205.0,205.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,35 37,37.0,35.0,190.0,190.0,190.0,145.0,145.0,145.0,mm,,,,,,,,,,,leadpoint,below
_measure_2,manuscript_1,,,"Cambridge, Trinity College, MS O.9.10",manuscript,,MS-TRINITY-COLLEGE-O-00009-00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_3,manuscript_1,,,"Cambridge, Trinity College, MS O.9.10",manuscript,,MS-TRINITY-COLLEGE-O-00009-00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_1,manuscript_12025,,,"Cambridge, Trinity College, MS O.9.17",manuscript-composite,,MS-TRINITY-O-00009-00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_2,manuscript_12025,,,"Cambridge, Trinity College, MS O.9.17",manuscript-composite,,MS-TRINITY-O-00009-00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_3,manuscript_12025,,,"Cambridge, Trinity College, MS O.9.17",part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,23 25,25.0,23.0,204.0,204.0,204.0,135.0,135.0,135.0,mm,13.0,13.0,13.0,,,,,,,,hardpoint,mixed
_measure_4,manuscript_12025,,,"Cambridge, Trinity College, MS O.9.17",part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,24.0,24.0,24.0,190.0,190.0,190.0,140.0,140.0,140.0,mm,,,,,,,,,,,hardpoint,below
_measure_1,manuscript_12026,,,"Cambridge, Trinity College, MS O.9.27",manuscript-composite,,MS-TRINITY-O-00009-00027,Codex iii + 1 + 63 + i,63.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_2,manuscript_12026,,,"Cambridge, Trinity College, MS O.9.27",manuscript-composite,,MS-TRINITY-O-00009-00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_3,manuscript_12026,,,"Cambridge, Trinity College, MS O.9.27",part,,,,,,,,,,,,,,,,,,,,,,265.0,265.0,265.0,169.0,169.0,169.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,19.0,19.0,19.0,,,,130.0,130.0,130.0,mm,,,,,,,,,,,,
_measure_4,manuscript_12026,,,"Cambridge, Trinity College, MS O.9.27",part,,,,,,,,,,,,,,,,,,,,,,265.0,265.0,265.0,169.0,169.0,169.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,39.0,39.0,39.0,,,,135.0,135.0,135.0,mm,,,,,,,,,,,,
_measure_5,manuscript_12026,,,"Cambridge, Trinity College, MS O.9.27",part,,,,,,,,,,,,,,,,,,,,,,265.0,265.0,265.0,185.0,185.0,185.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,17 33,33.0,17.0,205.0,205.0,205.0,120.0,120.0,120.0,mm,,,,,,,,,,,,
_measure_6,manuscript_12026,,,"Cambridge, Trinity College, MS O.9.27",part,,,,,,,,,,,,,,,,,,,,,,265.0,265.0,265.0,185.0,185.0,185.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,18.0,18.0,18.0,187.0,187.0,187.0,112.0,112.0,112.0,mm,,,,,,,,,,,,
_measure_7,manuscript_12026,,,"Cambridge, Trinity College, MS O.9.27",part,,,,,,,,,,,,,,,,,,,,,,265.0,265.0,265.0,185.0,185.0,185.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,39.0,39.0,39.0,215.0,215.0,215.0,145.0,145.0,145.0,mm,,,,,,,,,,,,
_measure_1,manuscript_1,,,"Cambridge, Trinity College, MS O.9.32",manuscript,,MS-TRINITY-COLLEGE-O-00009-00032,Codex: iii + 81 + i leaves. 280 200,81.0,,4.0,,,,,,,,,,,,,,,,280.0,280.0,280.0,200.0,200.0,200.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,58.0,58.0,58.0,200-210,210.0,200.0,140-145,145.0,140.0,mm,,,,,,,,,,,crayon,above
_measure_2,manuscript_1,,,"Cambridge, Trinity College, MS O.9.32",manuscript,,MS-TRINITY-COLLEGE-O-00009-00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_1,manuscript_1,,,"Cambridge, Trinity College, MS O.9.37",manuscript,,MS-TRINITY-COLLEGE-O-00009-00037,Codex: i + 128 + i leaves. 285 195,,,130.0,,,,,,,,,,,,,,,,285.0,285.0,285.0,195.0,195.0,195.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,35.0,35.0,35.0,205.0,205.0,205.0,140.0,140.0,140.0,mm,,,,,,,,,,,leadpoint,above
_measure_2,manuscript_1,,,"Cambridge, Trinity College, MS O.9.37",manuscript,,MS-TRINITY-COLLEGE-O-00009-00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
